vector_size,window,min_count,epochs,hs,negative,sample,self_similarity,second_similarity
30,1,5,20,1,0,0,0.66,0.769
30,1,5,20,1,0,0.01,0.665,0.778
30,1,5,20,1,0,0.001,0.693,0.797
30,1,5,20,0,10,0,0.539,0.626
30,1,5,20,0,10,0.01,0.546,0.636
30,1,5,20,0,10,0.001,0.563,0.678
30,1,5,30,1,0,0,0.656,0.762
30,1,5,30,1,0,0.01,0.645,0.761
30,1,5,30,1,0,0.001,0.674,0.786
30,1,5,30,0,10,0,0.573,0.658
30,1,5,30,0,10,0.01,0.557,0.656
30,1,5,30,0,10,0.001,0.594,0.705
30,1,5,40,1,0,0,0.63,0.739
30,1,5,40,1,0,0.01,0.636,0.746
30,1,5,40,1,0,0.001,0.668,0.777
30,1,5,40,0,10,0,0.574,0.669
30,1,5,40,0,10,0.01,0.575,0.677
30,1,5,40,0,10,0.001,0.611,0.722
30,1,10,20,1,0,0,0.678,0.777
30,1,10,20,1,0,0.01,0.669,0.77
30,1,10,20,1,0,0.001,0.682,0.786
30,1,10,20,0,10,0,0.544,0.626
30,1,10,20,0,10,0.01,0.536,0.637
30,1,10,20,0,10,0.001,0.594,0.691
30,1,10,30,1,0,0,0.653,0.755
30,1,10,30,1,0,0.01,0.663,0.758
30,1,10,30,1,0,0.001,0.671,0.776
30,1,10,30,0,10,0,0.561,0.663
30,1,10,30,0,10,0.01,0.575,0.683
30,1,10,30,0,10,0.001,0.612,0.716
30,1,10,40,1,0,0,0.644,0.747
30,1,10,40,1,0,0.01,0.641,0.744
30,1,10,40,1,0,0.001,0.656,0.769
30,2,2,20,1,0,0,0.658,0.759
30,2,2,20,1,0,0,0.665,0.776
30,2,2,20,1,0,0.01,0.65,0.757
30,2,2,30,1,0,0,0.667,0.764
30,2,2,30,1,0,0.01,0.668,0.767
30,2,2,40,1,0,0,0.653,0.756
30,2,2,40,1,0,0.01,0.658,0.754
30,2,5,20,1,0,0,0.653,0.765
30,2,5,20,1,0,0.01,0.665,0.767
30,2,5,30,1,0,0,0.642,0.754
30,2,5,30,1,0,0.01,0.662,0.766
30,2,5,40,1,0,0,0.661,0.761
30,2,5,40,1,0,0.01,0.653,0.756
30,2,10,20,1,0,0,0.644,0.757
30,2,10,20,1,0,0.01,0.652,0.757
30,2,10,30,1,0,0,0.645,0.762
30,2,10,30,1,0,0.01,0.657,0.767
30,2,10,40,1,0,0,0.633,0.75
30,2,10,40,1,0,0.01,0.642,0.766
30,3,2,20,1,0,0,0.623,0.729
30,3,2,20,1,0,0.01,0.612,0.722
30,3,2,30,1,0,0,0.63,0.746
30,3,2,30,1,0,0.01,0.637,0.747
30,3,2,40,1,0,0,0.643,0.755
30,3,2,40,1,0,0.01,0.64,0.755
30,3,5,20,1,0,0,0.633,0.731
30,3,5,20,1,0,0.01,0.615,0.724
30,3,5,30,1,0,0,0.651,0.746
30,3,5,30,1,0,0.01,0.646,0.755
30,3,5,40,1,0,0,0.634,0.746
30,3,5,40,1,0,0.01,0.649,0.749
30,3,10,20,1,0,0,0.632,0.736
30,3,10,20,1,0,0.01,0.63,0.742
30,3,10,30,1,0,0,0.647,0.75
30,3,10,30,1,0,0.01,0.628,0.737
30,3,10,40,1,0,0,0.65,0.765
30,3,10,40,1,0,0.01,0.65,0.756
40,2,2,20,1,0,0,0.684,0.787
40,2,2,20,1,0,0.01,0.676,0.791
40,2,2,30,1,0,0,0.658,0.773
40,2,2,30,1,0,0.01,0.665,0.783
40,2,2,40,1,0,0,0.67,0.787
40,2,2,40,1,0,0.01,0.659,0.785
40,2,5,20,1,0,0,0.679,0.791
40,2,5,20,1,0,0.01,0.686,0.793
40,2,5,30,1,0,0,0.683,0.792
40,2,5,30,1,0,0.01,0.665,0.778
40,2,5,40,1,0,0,0.675,0.779
40,2,5,40,1,0,0.01,0.668,0.773
40,2,10,20,1,0,0,0.693,0.797
40,2,10,20,1,0,0.01,0.688,0.793
40,2,10,30,1,0,0,0.685,0.799
40,2,10,30,1,0,0.01,0.676,0.791
40,2,10,40,1,0,0,0.667,0.777
40,2,10,40,1,0,0.01,0.666,0.78
40,3,2,20,1,0,0,0.674,0.78
40,3,2,20,1,0,0.01,0.666,0.775
40,3,2,30,1,0,0,0.663,0.776
40,3,2,30,1,0,0.01,0.673,0.784
40,3,2,40,1,0,0,0.669,0.781
40,3,2,40,1,0,0.01,0.662,0.781
40,3,5,20,1,0,0,0.682,0.781
40,3,5,20,1,0,0.01,0.645,0.764
40,3,5,30,1,0,0,0.672,0.782
40,3,5,30,1,0,0.01,0.676,0.781
40,3,5,40,1,0,0,0.667,0.78
40,3,5,40,1,0,0.01,0.668,0.775
40,3,10,20,1,0,0,0.674,0.776
40,3,10,20,1,0,0.01,0.68,0.778
40,3,10,30,1,0,0,0.681,0.782
40,3,10,30,1,0,0.01,0.682,0.788
40,3,10,40,1,0,0,0.672,0.78
40,3,10,40,1,0,0.01,0.657,0.784
100,2,2,20,1,0,0.1,0.725,0.825
100,2,2,30,1,0,0.1,0.707,0.807
100,2,2,40,1,0,0.1,0.695,0.81
100,2,5,20,1,0,0.1,0.706,0.817
100,2,5,30,1,0,0.1,0.702,0.805
100,2,2,10,1,0,0.1,0.726,0.815
100,2,2,5,1,0,0.1,0.665,0.7633333333333333
100,2,2,5,1,0,0,0.6616666666666666,0.761
100,2,2,8,1,0,0.1,0.6776666666666666,0.7773333333333333
100,2,2,8,1,0,0,0.6756666666666666,0.7793333333333333
100,2,2,10,1,0,0.1,0.6836666666666666,0.7806666666666666
100,2,2,10,1,0,0,0.6833333333333333,0.78
100,2,2,12,1,0,0.1,0.6813333333333333,0.782
100,2,2,12,1,0,0,0.6803333333333333,0.7836666666666666
100,2,2,15,1,0,0.1,0.6763333333333333,0.778
100,2,2,15,1,0,0,0.676,0.7763333333333333
100,2,2,20,1,0,0.1,0.672,0.7783333333333333
100,2,2,20,1,0,0,0.6746666666666666,0.7836666666666666
100,2,2,30,1,0,0.1,0.6703333333333333,0.776
100,2,2,30,1,0,0,0.665,0.7706666666666667
100,2,2,50,1,0,0.1,0.6503333333333333,0.7573333333333333
100,2,2,50,1,0,0,0.6546666666666666,0.7623333333333333
100,2,3,5,1,0,0.1,0.6603333333333333,0.76
100,2,3,5,1,0,0,0.657,0.7606666666666667
100,2,3,8,1,0,0.1,0.674,0.7756666666666666
100,2,3,8,1,0,0,0.6826666666666666,0.781
100,2,3,10,1,0,0.1,0.684,0.7763333333333333
100,2,3,10,1,0,0,0.677,0.777
100,2,3,12,1,0,0.1,0.681,0.781
100,2,3,12,1,0,0,0.677,0.7806666666666666
100,2,3,15,1,0,0.1,0.678,0.7786666666666666
100,2,3,15,1,0,0,0.6763333333333333,0.779
100,2,3,20,1,0,0.1,0.6746666666666666,0.776
100,2,3,20,1,0,0,0.674,0.7796666666666666
100,2,3,30,1,0,0.1,0.668,0.7746666666666666
100,2,3,30,1,0,0,0.674,0.7753333333333333
100,2,3,50,1,0,0.1,0.664,0.765
100,2,3,50,1,0,0,0.6583333333333333,0.7616666666666667
100,2,4,5,1,0,0.1,0.6596666666666666,0.764
100,2,4,5,1,0,0,0.664,0.7683333333333333
100,2,4,8,1,0,0.1,0.678,0.7793333333333333
100,2,4,8,1,0,0,0.6833333333333333,0.783
100,2,4,10,1,0,0.1,0.6806666666666666,0.7796666666666666
100,2,4,10,1,0,0,0.6763333333333333,0.777
100,2,4,12,1,0,0.1,0.6826666666666666,0.781
100,2,4,12,1,0,0,0.6793333333333333,0.7796666666666666
100,2,4,15,1,0,0.1,0.68,0.7796666666666666
